"","Expt","Sample","Species","TreatNum","Light","Treatment","ShortTreat","Feeding","Rep","Day","CellCount","ChlpCell","Fv.Fm","Pmax","Pmax.err","Pmax.p","a","a.err","a.p","Ek","P_I","P_I.C","CryptoCount","ShortTreat2","ChlpmL","logcells","ID","mu.3day.terminal","mu.3day.centered"
"75",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","C",8,14583.3,9.9802,0.247,65.0166539,0.876592195,7.75e-24,1.038111102,0.035624744,1.34e-16,62.62976458,10.29378267,0.177894888,0,"starved",145544.25066,9.58763231740075,"starved C",-0.0935362747665301,-0.113180523701192
"189",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, super starved","superstarved","starved","C",21,3012.5,10.0183,0.24,37.55948176,0.852278665,8.65e-20,0.87496759,0.068084624,1.66e-10,42.92671201,8.594761651,0.14853278,0,"superstarved",30180.12875,8.01052557779891,"starved C",-0.113180523701192,NA
"4",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-8,15666.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.6592927196814,"starved D",NA,NA
"10",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-7,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0690019910137,"starved D",NA,0.189799734930464
"16",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-6,22900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0388921895423,"starved D",0.189799734930464,-0.0311327916441701
"22",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-4,21500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.97580821411575,"starved D",-0.0311327916441701,-0.0100236143004708
"28",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-2,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.99879773234045,"starved D",-0.0100236143004708,-0.0214123463907574
"34",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",-1,19833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.89511762219193,"starved D",-0.0214123463907574,0.0351021293366223
"40",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",0,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0690019910137,"starved D",0.0351021293366223,0.0165312714672825
"46",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",1,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.9281801651265,"starved D",0.0165312714672825,-0.117757844981283
"52",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",3,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.71111565988867,"starved D",-0.117757844981283,-0.0530071803150366
"58",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",5,16583.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.71615144386636,"starved D",-0.0530071803150366,-0.0102235216245517
"64",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",6,15900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.67407438820832,"starved D",-0.0102235216245517,0.029751368579942
"70",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","D",7,17600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.77565418102624,"starved D",0.029751368579942,-0.0696201901495533
"76",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","D",8,13833.3,10.9182,0.246,72.04905736,1.139209804,1.35e-22,1.12608866,0.04438093,1.53e-15,63.98169159,11.17008001,0.193038865,0,"starved",151034.73606,9.53483400790922,"starved D",-0.0696201901495533,NA
"5",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-8,17083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.74585665711113,"starved E",NA,NA
"11",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-7,20083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.90764390293238,"starved E",NA,0.0911617540076826
"17",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-6,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.9281801651265,"starved E",0.0911617540076826,0.0327077614766565
"23",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-4,22100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0033328875058,"starved E",0.0327077614766565,0.0130671071364384
"29",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-2,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.98044859367226,"starved E",0.0130671071364384,-0.0259079416955328
"35",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",-1,20300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.91837616502988,"starved E",-0.0259079416955328,-0.0934800379435369
"41",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",0,17916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.79348851778519,"starved E",-0.0934800379435369,-0.0357294819910733
"47",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",1,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.84691720104773,"starved E",-0.0357294819910733,-0.053649695510248
"53",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",3,15583.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.653955107009,"starved E",-0.053649695510248,-0.0240476153295837
"59",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",5,17166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.75072673972941,"starved E",-0.0240476153295837,0.0126606255369767
"65",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",6,15900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.67407438820832,"starved E",0.0126606255369767,-0.00194649861932833
"71",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","E",7,17100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.74683374249075,"starved E",-0.00194649861932833,-0.0666147756953624
"77",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","E",8,13916.7,12.4161,0.245,72.04785827,1.081922591,5.36e-23,1.08281699,0.038956093,3.08e-16,66.53742868,10.74737277,0.185733732,0,"starved",172791.13887,9.5408448368176,"starved E",-0.0666147756953624,NA
"6",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-8,14833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.60462993229268,"starved F",NA,NA
"12",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-7,20083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.90764390293238,"starved F",NA,0.134199206379366
"18",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-6,19400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.87302834505142,"starved F",0.134199206379366,0.0184131876247758
"24",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-4,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.95227771670556,"starved F",0.0184131876247758,0.00761480187117587
"30",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-2,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.90348755253613,"starved F",0.00761480187117587,-0.0345981140555916
"36",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",-1,18833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.84338185855335,"starved F",-0.0345981140555916,-0.0961859463237299
"42",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",0,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.71111565988867,"starved F",-0.0961859463237299,0.0342030748443319
"48",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",1,20166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.91178800824202,"starved F",0.0342030748443319,0.0249153611091635
"54",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",3,18416.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.821013140665,"starved F",0.0249153611091635,-0.0824710199583395
"60",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",5,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.58190392840867,"starved F",-0.0824710199583395,-0.0834324674379028
"66",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",6,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.58877680769643,"starved F",-0.0834324674379028,0.00684942217908014
"72",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","F",7,14700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.59560277276683,"starved F",0.00684942217908014,-0.0980574394631474
"78",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","F",8,12000,12.0743,0.253,72.6291399,1.577579411,3.96e-20,0.984213719,0.045761575,2.74e-14,73.79407391,9.782330872,0.16905609,0,"starved",144891.6,9.39266192877014,"starved F",-0.0980574394631474,NA
"127",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",12.2,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34250,"",NA,9.30565055178051,"wellfed A",NA,NA
"133",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",13,13083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6200,"",NA,9.4790918867685,"wellfed A",NA,0.264736311855755
"139",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",14,17666.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,"",NA,9.77943679065682,"wellfed A",0.264736311855755,NA
"145",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",15.2,2162.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4266.666667,"",NA,7.67902023880603,"wellfed A",NA,NA
"151",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",16,3950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1575,"",NA,8.28147085789517,"wellfed A",NA,0.612622945419978
"157",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",17,6566.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4933.333333,"",NA,8.78976670218722,"wellfed A",0.612622945419978,0.425453986305652
"163",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",18,9250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.333333,"",NA,9.13237883050647,"wellfed A",0.425453986305652,0.331759924199676
"169",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",19,12750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100,"",NA,9.45328655058657,"wellfed A",0.331759924199676,0.359907713821053
"175",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","A",20,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.5,"",NA,9.85219425814858,"wellfed A",0.359907713821053,0.439598536292042
"181",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","A",21,30714.3,26.571,0.525,85.06536511,0.98505372,5.05e-25,1.102488961,0.025940082,1.65e-19,77.15756633,10.96357161,0.189470033,6550,"wellfed",816109.6653,10.3324836231707,"wellfed A",0.439598536292042,NA
"128",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",12.2,11285.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52000,"",NA,9.33129171657026,"wellfed B",NA,NA
"134",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",13,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7400,"",NA,9.35010231435134,"wellfed B",NA,0.231471207857292
"140",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",14,16916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2316.666667,"",NA,9.73605657867733,"wellfed B",0.231471207857292,NA
"146",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",15.2,1687.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2566.666667,"",NA,7.43100342274669,"wellfed B",NA,NA
"152",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",16,3150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825,"",NA,8.05515773181968,"wellfed B",NA,0.645328903951386
"158",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",17,5433.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5383.333333,"",NA,8.6003019631386,"wellfed B",0.645328903951386,0.416799508014522
"164",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",18,7250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,"",NA,8.88875674784872,"wellfed B",0.416799508014522,0.360194725538309
"170",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",19,11166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,"",NA,9.32069141421522,"wellfed B",0.360194725538309,0.365898719628915
"176",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","B",20,15071.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.6666667,"",NA,9.62055418710655,"wellfed B",0.365898719628915,0.436131433662703
"182",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","B",21,26714.3,27.8,0.51,102.3754703,0.966749832,1.29e-26,1.123739637,0.017408888,9.37e-23,91.10248227,11.19248088,0.193425992,4966.666667,"wellfed",742657.54,10.1929542815406,"wellfed B",0.436131433662703,NA
"129",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",12.2,9250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51750,"",NA,9.13237883050647,"wellfed C",NA,NA
"135",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",13,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100,"",NA,9.30565055178051,"wellfed C",NA,0.470122749695542
"141",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",14,21250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133.333333,"",NA,9.96411217435256,"wellfed C",0.470122749695542,NA
"147",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",15.2,1487.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,"",NA,7.30485213741979,"wellfed C",NA,NA
"153",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",16,3483.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,"",NA,8.15573539930107,"wellfed C",NA,0.649141540640319
"159",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",17,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7833.333333,"",NA,8.49699048409872,"wellfed C",0.649141540640319,0.402154298715441
"165",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",18,7785.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5516.666667,"",NA,8.96004399673195,"wellfed C",0.402154298715441,0.392835274728545
"171",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",19,10750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3583.333333,"",NA,9.28266103355581,"wellfed C",0.392835274728545,0.360150002244984
"177",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","C",20,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.6666667,"",NA,9.68034400122192,"wellfed C",0.360150002244984,0.380294230677738
"183",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","C",21,23000,28.5478,0.51,113.5824814,1.724641791,6.54e-23,1.106083542,0.023179564,2.09e-20,102.6888812,11.02600365,0.190548969,4600,"wellfed",656599.4,10.0432494949113,"wellfed C",0.380294230677738,NA
"130",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",12.2,11750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,"",NA,9.37160851957231,"wellfed D",NA,NA
"136",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",13,9250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3583.333333,"",NA,9.13237883050647,"wellfed D",NA,0.272826676724713
"142",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",14,18583.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.6666667,"",NA,9.83001860693067,"wellfed D",0.272826676724713,NA
"148",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",15.2,2062.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3616.666667,"",NA,7.63167411820884,"wellfed D",NA,NA
"154",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",16,3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.5,"",NA,8.28399930424853,"wellfed D",NA,0.512972282770684
"160",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",17,5283.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7100,"",NA,8.57230618146915,"wellfed D",0.512972282770684,0.288306877220624
"166",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6166.666667,"",NA,NA,"wellfed D",0.288306877220624,0.32316484376557
"172",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",19,10083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4666.666667,"",NA,9.21863586900029,"wellfed D",0.32316484376557,0.507517668252926
"178",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","D",20,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.5,"",NA,9.72615353725321,"wellfed D",0.507517668252926,0.40866970336342
"184",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","D",21,22833.3,24.9798,0.52,117.274387,1.726231817,3.74e-23,1.105167625,0.021358282,4.91e-21,106.1145697,11.0190763,0.190429252,6300,"wellfed",570371.26734,10.0359752757271,"wellfed D",0.40866970336342,NA
"131",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",12.2,8333.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46600,"",NA,9.02801481517423,"wellfed E",NA,NA
"137",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",13,10333.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7325,"",NA,9.24312696898752,"wellfed E",NA,0.331618391021569
"143",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",14,15083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,"",NA,9.62134345051277,"wellfed E",0.331618391021569,NA
"149",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",15.2,1937.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,"",NA,7.5691537612275,"wellfed E",NA,NA
"155",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",16,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266.666667,"",NA,7.90100705199242,"wellfed E",NA,0.457009488964711
"161",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",17,4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3966.666667,"",NA,8.38935981990635,"wellfed E",0.457009488964711,0.573407195242996
"167",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",18,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2883.333333,"",NA,9.04782144247841,"wellfed E",0.573407195242996,0.511960698033259
"173",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",19,12250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,"",NA,9.41328121597287,"wellfed E",0.511960698033259,0.300386930214464
"179",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","E",20,15500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,"",NA,9.64859530290734,"wellfed E",0.300386930214464,0.382654180492296
"185",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","E",21,26333.3,27.1765,0.514,120.7858589,2.033725816,4.17e-22,1.10818498,0.023501685,2.59e-20,108.9943115,11.05085966,0.190978525,4333.333333,"wellfed",715646.92745,10.1785895769575,"wellfed E",0.382654180492296,NA
"132",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",12.2,8357.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43750,"",NA,9.03086675594636,"wellfed F",NA,NA
"138",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",13,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9300,"",NA,9.25913053614561,"wellfed F",NA,0.375125373075373
"144",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",14,16333.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716.666667,"",NA,9.70096124760624,"wellfed F",0.375125373075373,NA
"150",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",15.2,1937.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950,"",NA,7.5691537612275,"wellfed F",NA,NA
"156",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",16,3400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,"",NA,8.13153071060425,"wellfed F",NA,0.458322772659761
"162",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",17,4483.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4733.333333,"",NA,8.40811466139,"wellfed F",0.458322772659761,0.461808385983114
"168",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",18,8562.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4366.666667,"",NA,9.05514748257048,"wellfed F",0.461808385983114,0.47099382648067
"174",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",19,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700,"",NA,9.35010231435134,"wellfed F",0.47099382648067,0.245832563013457
"180",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","","wellfed","F",20,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.3333333,"",NA,9.5468126085974,"wellfed F",0.245832563013457,0.331865901407612
"186",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, well-fed","wellfed","wellfed","F",21,22333.3,31.161,0.526,128.4120511,1.783537075,1.32e-23,1.107746182,0.017568657,1.43e-22,115.9219081,11.05006519,0.190964796,5383.333333,"wellfed",695927.9613,10.0138341171666,"wellfed F",0.331865901407612,NA
